内容,(%)
緊急時に位置情報を知らせてくることができる機能,54.1
子供の所在地を検索できる機能,53.3
迷惑メール防止機能,46.9
料金上限設定機能,42.1
メール機能,37.5
利用時間制限機能,31.7
SNS監視機能,30.3
非常ブザー等防犯機能,28.2
メール相手の制限設定機能,21.7
通話相手の制限設定機能,21.3
インターネット機能,17.5
その他,0.9
