区分１,区分２,度数計,割合計,設定をした_度数,設定をした_割合,設定をしていない_度数,設定をしていない_割合,わからない_度数,わからない_割合
全体,全体,539,100,463,85.9,39,7.2,37,6.9
児童・生徒別,小学生,158,100,141,89.2,12,7.6,5,3.2
児童・生徒別,中学生,228,100,204,89.5,7,3.1,17,7.5
児童・生徒別,高校生,153,100,118,77.1,20,13.1,15,9.8
子供の性別,男子,286,100,253,88.5,16,5.6,17,5.9
子供の性別,女子,253,100,210,83,23,9.1,20,7.9
児童・生徒×子供の性別,小学生男子,82,100,76,92.7,5,6.1,1,1.2
児童・生徒×子供の性別,小学生女子,76,100,65,85.5,7,9.2,4,5.3
児童・生徒×子供の性別,中学生男子,125,100,113,90.4,3,2.4,9,7.2
児童・生徒×子供の性別,中学生女子,103,100,91,88.3,4,3.9,8,7.8
児童・生徒×子供の性別,高校生男子,79,100,64,81,8,10.1,7,8.9
児童・生徒×子供の性別,高校生女子,74,100,54,73,12,16.2,8,10.8
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,369,100,316,85.6,28,7.6,25,6.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,27,100,22,81.5,2,7.4,3,11.1
携帯電話の購入所別,家電量販店,100,100,90,90,5,5,5,5
携帯電話の購入所別,インターネット販売,32,100,27,84.4,1,3.1,4,12.5
携帯電話の購入所別,その他,7,100,5,71.4,2,28.6,0,0
携帯電話の購入所別,わからない,4,100,3,75,1,25,0,0
フィルタリングサービスの加入状況別,加入している,539,100,463,85.9,39,7.2,37,6.9
フィルタリングサービスの加入状況別,加入している,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,わからない,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入している,317,100,287,90.5,12,3.8,18,5.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,62,100,46,74.2,8,12.9,8,12.9
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,25,100,16,64,7,28,2,8
利用制限サービスの加入状況別,わからない,12,100,9,75,0,0,3,25
利用状況の管理状態別,利用状況の把握及び監督もできている,216,100,193,89.4,13,6,10,4.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,262,100,228,87,18,6.9,16,6.1
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,46,100,31,67.4,6,13,9,19.6
利用状況の管理状態別,子供の利用状況に関心がない,12,100,8,66.7,2,16.7,2,16.7
利用状況の管理状態別,その他,3,100,3,100,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,209,100,180,86.1,18,8.6,11,5.3
説明・学習経験別,インターネットで調べた,210,100,191,91,14,6.7,5,2.4
説明・学習経験別,学校から配布される資料等を読んだ,237,100,204,86.1,13,5.5,20,8.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,147,100,127,86.4,10,6.8,10,6.8
説明・学習経験別,知識のある知人から説明を受けた,30,100,27,90,2,6.7,1,3.3
説明・学習経験別,販売店等から詳しく説明をうけた,71,100,68,95.8,3,4.2,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,14,100,13,92.9,1,7.1,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,65,100,55,84.6,7,10.8,3,4.6
説明・学習経験別,その他,1,100,1,100,0,0,0,0
