内容,基数,未就学児,小学1～2年生,小学3～4年生,小学5～6年生,中学1年生,中学2年生,中学3年生,高校1年生,高校2年生,高校3年生
全体,412,2.7,39.1,29.9,16.5,6.3,1.5,1.5,2.2,0,0.5
小学生,298,2.7,49.7,34.2,13.4,0,0,0,0,0,0
中学生,82,1.2,12.2,22,28,25.6,6.1,4.9,0,0,0
高校生,32,6.3,9.4,9.4,15.6,15.6,3.1,6.3,28.1,0,6.3
男子,198,3,34.3,30.3,18.2,7.1,2.5,1.5,2.5,0,0.5
女子,214,2.3,43.5,29.4,15,5.6,0.5,1.4,1.9,0,0.5
