内容,基数,携帯電話,スマートフォン,両方利用している
全体,1500,26.4,72.5,1.1
小学生,500,58.2,40.4,1.4
中学生,500,15,83.6,1.4
高校生,500,6,93.6,0.4
男子,763,25.2,74,0.8
女子,737,27.7,71,1.4
