内容,平成29年(n=1500),平成28年(n=1500),平成27年(n=1500)
緊急時に位置情報を知らせてくることができる機能,54.1,58.6,62.2
子供の所在地を検索できる機能,53.3,59.3,60.2
迷惑メール防止機能,46.9,53,56.8
料金上限設定機能,42.1,49.8,50.9
メール機能,37.5,47.6,53.4
利用時間制限機能,31.7,35.9,41.7
SNS監視機能,30.3,33.7,32.5
非常ブザー等防犯機能,28.2,30.7,34.5
メール相手の制限設定機能,21.7,23.4,27.1
通話相手の制限設定機能,21.3,23.1,26.4
インターネット機能,17.5,18.2,17.9
その他,0.9,1.5,0.6
