内容,平成29年度(n=1500),平成28年度(n=1500),平成27年度(n=1500)
インターネットや携帯電話等について、子供に教育できる十分な知識を身につけること,43.5,45.5,47.2
親子のコミュニケーションを緊密にすること,37.4,44,41
子供の使用状況について、保護者がもっと関心を払うこと,30.9,32.5,31.8
携帯電話等の使い方について家庭のルールを作る,18.3,19.1,21.1
携帯電話等の使い方について、友達の間でのルールを作るサポートをする,4.3,4.3,5.7
他の子供の保護者等ともっと情報交換すること,3.9,4.2,5.1
今のままで問題ない,14.6,11.9,10.1
その他,0.3,0.7,0.3
