内容,基数,各携帯電話会社の販売店,全携帯電話等会社の機種を扱う販売代理店,家電量販店,インターネット販売,その他,わからない
全体,1500,63.5,5.6,18.8,7.3,2.9,1.9
加入している,539,68.5,5,18.6,5.9,1.3,0.7
加入していない,523,56.2,7.6,20.1,10.5,4.4,1.1
インターネットが使えない環境・設定になっている,185,70.3,5.4,15.7,4.3,3.8,0.5
わからない,253,63.2,2.8,19,5.5,2.4,7.1
加入している,366,65.3,6.8,19.4,6.6,1.1,0.8
加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,61.1,6,18,11.4,3.6,0
加入していないし、特段の制限も設けていない,351,52.1,7.7,21.1,13.7,4.6,0.9
わからない,87,63.2,1.1,24.1,2.3,2.3,6.9
