内容,基数,加入している,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,加入していないし、特段の制限も設けていない,わからない
全体,971,37.7,17.2,36.1,9
小学生低学年,178,53.4,21.9,19.7,5.1
男子,382,46.3,18.1,27,8.6
女子,411,22.9,14.4,51.8,10.9
小学生低学年男子,496,39.9,16.5,35.3,8.3
小学生低学年女子,475,35.4,17.9,37.1,9.7
小学生高学年男子,86,60.5,19.8,16.3,3.5
小学生高学年女子,92,46.7,23.9,22.8,6.5
中学生男子,194,50,19.1,22.2,8.8
中学生女子,188,42.6,17,31.9,8.5
高校生男子,216,22.7,13,54.6,9.7
高校生女子,195,23.1,15.9,48.7,12.3
