内容,(%)
有害情報サービスを除去する機能を更に強化してほしい,37.1
サービスの選択、設定方法をわかりやすくしてほしい,22.5
有害情報の判断を正確にしてほしい,19.2
できるだけ細かく設定できるようにしてほしい,16.5
今のままでよい,13.1
その他,0.3
使っていないのでわからない,23.6
