内容,(%)
トラブルにあったことはない,79.9
使い過ぎによる体調不良や成績の落ち込み,4.5
高額のゲーム代（アイテム購入代など）の請求書が届いた,2.9
アイテム交換等をすると言ってだまされた,2.5
個人情報を知られた（盗まれた）,2
掲示板等に個人の誹謗中傷などの書き込みをされた,1.1
その他,0.3
わからない,9.5
