内容,基数,電話をする,メールをする,SNS等のコミュニケーションアプリ,動画を見る,カメラ撮影,ゲームをする,音楽を聴く,インターネット,学習・調べもの,その他,わからない
平成29年度,1500,18.5,13.9,27.4,13.9,0.5,13.3,2.8,3.9,1.5,0.5,3.8
平成28年度,1500,24.1,16.5,27.4,9.1,0.5,11.5,3.1,3.8,0,0.7,3.3
平成27年度,1500,35.9,0,27,6,1.4,11.6,3.3,5.7,0,4.9,4.1
