内容,基数,守られている,だいたい守られている,あまり守られていない,守られていない,まもられているかどうかわからない
全体,1500,34.1,15.6,5.1,17.1,28
小学生,500,35.4,9.4,5.8,21.2,28.2
中学生,500,34.4,17.8,6,15.4,26.4
高校生,500,32.6,19.6,3.6,14.8,29.4
男子,763,34.1,17.3,5.4,17.7,25.6
女子,737,34.2,13.8,4.9,16.6,30.5
