内容,平成29年度(n=1500),平成28年度(n=1500),平成27年度(n=1500)
学校から配布される資料等を読んだ,35.8,36.2,34.3
インターネットで調べた,32.1,33.7,25.7
テレビや本・雑誌などの特集を見た、読んだ,31.4,37.2,36.7
学校の保護者会等で行われた講演会で説明を受けた,22,23.1,21.5
販売店等から詳しく説明を受けた,7.5,5.9,4.3
知識のある知人から説明を受けた,4.9,3.9,3.4
公共施設などで開催された講座に参加した,2.5,1.4,1.3
説明を受けたり学習したことはない,22.7,22.3,27.3
その他,0.6,0.7,0.4
