内容,(%)
利用する時間の制限,34.6
困ったときはすぐ保護者へ相談すること,30.8
利用する際のマナー（誹謗中傷することは書かない等）,26.3
利用料金の制限,24.3
利用する場所の制限,19.3
利用するサイトやアプリを決めている,18.9
パスワードや利用者情報が漏れないようにすること,18
メールなどの相手を制限,13.9
その他,1.5
作っていない,28.3
