内容,基数,作っている,作っていない,わからない
全体,1500,16.1,42.4,41.5
小学生,500,23.8,48,28.2
中学生,500,15.6,37.2,47.2
高校生,500,9,42,49
男子,763,15.7,42.1,42.2
女子,737,16.6,42.7,40.7
