内容,平成29年度(n=242),平成28年度(n=180),平成27年度(n=123)
利用時間（夜10まで等）を決めている,64.5,65,59.3
利用する際のマナー（誹謗中傷することは書かない等）,46.3,49.4,47.2
友達の画像をサイト等にアップする時は、本人の許可をもらう,27.3,24.4,17.9
相手が誤解しそうな紛らわしい言葉は使わない,24,24.4,22.8
既読スルーされても気にしない（相手の都合を考える）,21.5,18.3,20.3
その他,2.9,3.9,5.7
