内容,平成29年度(n=222),平成28年度(n=147),平成27年度(n=124)
親が子供を見張るようなことができない（したくない）から,41.4,36.7,46.8
友達が使用していると、つられて使用してしまうから,38.7,41.5,41.1
親と子供で決めたいルールが異なるから,26.1,23.1,25.8
ルールが厳しすぎるから,11.7,10.2,6.5
その他,5,8.2,6.5
