内容,(%)
ＳＮＳ　※LINE、Facebookなど,80.3
ゲーム,57.1
ＳＮＳ（動画形式）※Youtubeツイキャスなど,52.2
学習用,19.4
その他,1.1
アプリは利用していない,4
わからない,8.1
