区分１,区分２,度数計,割合計,内容の説明があり、説明書の交付もあった_度数,内容の説明があり、説明書の交付もあった_割合,内容の説明があったが、説明書の交付はされなかった_度数,内容の説明があったが、説明書の交付はされなかった_割合,説明書は交付されたが、内容の説明はなかった_度数,説明書は交付されたが、内容の説明はなかった_割合,内容の説明も、説明書の交付もなかった_度数,内容の説明も、説明書の交付もなかった_割合,わからない_度数,わからない_割合
全体,全体,1500,100,512,34.1,234,15.6,77,5.1,257,17.1,420,28
児童・生徒別,小学生,500,100,177,35.4,47,9.4,29,5.8,106,21.2,141,28.2
児童・生徒別,中学生,500,100,172,34.4,89,17.8,30,6,77,15.4,132,26.4
児童・生徒別,高校生,500,100,163,32.6,98,19.6,18,3.6,74,14.8,147,29.4
子供の性別,男子,763,100,260,34.1,132,17.3,41,5.4,135,17.7,195,25.6
子供の性別,女子,737,100,252,34.2,102,13.8,36,4.9,122,16.6,225,30.5
児童・生徒×子供の性別,小学生男子,236,100,90,38.1,25,10.6,15,6.4,49,20.8,57,24.2
児童・生徒×子供の性別,小学生女子,264,100,87,33,22,8.3,14,5.3,57,21.6,84,31.8
児童・生徒×子供の性別,中学生男子,262,100,91,34.7,48,18.3,16,6.1,39,14.9,68,26
児童・生徒×子供の性別,中学生女子,238,100,81,34,41,17.2,14,5.9,38,16,64,26.9
児童・生徒×子供の性別,高校生男子,265,100,79,29.8,59,22.3,10,3.8,47,17.7,70,26.4
児童・生徒×子供の性別,高校生女子,235,100,84,35.7,39,16.6,8,3.4,27,11.5,77,32.8
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,367,38.5,163,17.1,40,4.2,121,12.7,262,27.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,36,42.9,9,10.7,6,7.1,15,17.9,18,21.4
携帯電話の購入所別,家電量販店,282,100,83,29.4,49,17.4,20,7.1,54,19.1,76,27
携帯電話の購入所別,インターネット販売,109,100,17,15.6,9,8.3,8,7.3,49,45,26,23.9
携帯電話の購入所別,その他,43,100,3,7,4,9.3,2,4.7,16,37.2,18,41.9
携帯電話の購入所別,わからない,29,100,6,20.7,0,0,1,3.4,2,6.9,20,69
フィルタリングサービスの加入状況別,加入している,539,100,312,57.9,107,19.9,24,4.5,34,6.3,62,11.5
フィルタリングサービスの加入状況別,加入している,523,100,131,25,90,17.2,35,6.7,147,28.1,120,22.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,49,26.5,22,11.9,11,5.9,52,28.1,51,27.6
フィルタリングサービスの加入状況別,わからない,253,100,20,7.9,15,5.9,7,2.8,24,9.5,187,73.9
利用制限サービスの加入状況別,加入している,366,100,192,52.5,74,20.2,17,4.6,33,9,50,13.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,64,38.3,47,28.1,7,4.2,19,11.4,30,18
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,91,25.9,45,12.8,20,5.7,99,28.2,96,27.4
利用制限サービスの加入状況別,わからない,87,100,19,21.8,8,9.2,3,3.4,4,4.6,53,60.9
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,221,40.2,54,9.8,26,4.7,110,20,139,25.3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,225,35.2,130,20.3,32,5,91,14.2,161,25.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,47,22.6,38,18.3,15,7.2,39,18.8,69,33.2
利用状況の管理状態別,子供の利用状況に関心がない,98,100,16,16.3,10,10.2,4,4.1,17,17.3,51,52
利用状況の管理状態別,その他,5,100,3,60,2,40,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,194,41.2,74,15.7,30,6.4,68,14.4,105,22.3
説明・学習経験別,インターネットで調べた,482,100,199,41.3,92,19.1,36,7.5,72,14.9,83,17.2
説明・学習経験別,学校から配布される資料等を読んだ,537,100,223,41.5,92,17.1,25,4.7,84,15.6,113,21
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,135,40.9,67,20.3,13,3.9,49,14.8,66,20
説明・学習経験別,知識のある知人から説明を受けた,74,100,35,47.3,10,13.5,5,6.8,8,10.8,16,21.6
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,76,67.3,13,11.5,7,6.2,7,6.2,10,8.8
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,12,32.4,4,10.8,5,13.5,9,24.3,7,18.9
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,63,18.5,33,9.7,11,3.2,78,22.9,155,45.6
説明・学習経験別,その他,9,100,3,33.3,0,0,0,0,2,22.2,4,44.4
