内容,基数,ある,ない,わからない
全体,1500,15.8,58.7,25.5
小学生,500,13.8,77.4,8.8
中学生,500,17,59,24
高校生,500,16.6,39.6,43.8
男子,763,17.6,54,28.4
女子,737,14,63.5,22.5
