内容,基数,加入している,加入していない,インターネットが使えない機種・設定になっている,わからない
平成29年度,1500,35.9,34.9,12.3,16.9
平成28年度,1500,30.6,37.5,16.6,15.3
平成27年度,1500,31.7,35.1,18.4,14.8
