区分１,区分２,度数計,割合計,提出した_度数,提出した_割合,提出していない_度数,提出していない_割合,わからない_度数,わからない_割合
全体,全体,523,100,39,7.5,362,69.2,122,23.3
児童・生徒別,小学生,129,100,7,5.4,94,72.9,28,21.7
児童・生徒別,中学生,167,100,12,7.2,117,70.1,38,22.8
児童・生徒別,高校生,227,100,20,8.8,151,66.5,56,24.7
子供の性別,男子,265,100,22,8.3,185,69.8,58,21.9
子供の性別,女子,258,100,17,6.6,177,68.6,64,24.8
児童・生徒×子供の性別,小学生男子,57,100,4,7,42,73.7,11,19.3
児童・生徒×子供の性別,小学生女子,72,100,3,4.2,52,72.2,17,23.6
児童・生徒×子供の性別,中学生男子,80,100,7,8.8,57,71.3,16,20
児童・生徒×子供の性別,中学生女子,87,100,5,5.7,60,69,22,25.3
児童・生徒×子供の性別,高校生男子,128,100,11,8.6,86,67.2,31,24.2
児童・生徒×子供の性別,高校生女子,99,100,9,9.1,65,65.7,25,25.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,294,100,25,8.5,196,66.7,73,24.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,40,100,4,10,28,70,8,20
携帯電話の購入所別,家電量販店,105,100,8,7.6,75,71.4,22,21
携帯電話の購入所別,インターネット販売,55,100,2,3.6,43,78.2,10,18.2
携帯電話の購入所別,その他,23,100,0,0,18,78.3,5,21.7
携帯電話の購入所別,わからない,6,100,0,0,2,33.3,4,66.7
フィルタリングサービスの加入状況別,加入している,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,523,100,39,7.5,362,69.2,122,23.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,わからない,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入している,29,100,2,6.9,18,62.1,9,31
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,75,100,9,12,50,66.7,16,21.3
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,278,100,24,8.6,193,69.4,61,21.9
利用制限サービスの加入状況別,わからない,20,100,0,0,15,75,5,25
利用状況の管理状態別,利用状況の把握及び監督もできている,172,100,15,8.7,124,72.1,33,19.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,241,100,18,7.5,161,66.8,62,25.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,80,100,6,7.5,55,68.8,19,23.8
利用状況の管理状態別,子供の利用状況に関心がない,29,100,0,0,21,72.4,8,27.6
利用状況の管理状態別,その他,1,100,0,0,1,100,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,143,100,12,8.4,96,67.1,35,24.5
説明・学習経験別,インターネットで調べた,179,100,13,7.3,134,74.9,32,17.9
説明・学習経験別,学校から配布される資料等を読んだ,164,100,15,9.1,111,67.7,38,23.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,105,100,10,9.5,67,63.8,28,26.7
説明・学習経験別,知識のある知人から説明を受けた,27,100,4,14.8,16,59.3,7,25.9
説明・学習経験別,販売店等から詳しく説明をうけた,25,100,5,20,11,44,9,36
説明・学習経験別,公共施設などで開催された講座に参加した,9,100,1,11.1,7,77.8,1,11.1
説明・学習経験別,特に説明をうけたり学習したりしたことはない,145,100,6,4.1,103,71,36,24.8
説明・学習経験別,その他,2,100,0,0,1,50,1,50
