内容,(%)
子どもを信用しており不要だから,43.8
子供が有害情報を含むアプリをダウンロードしないよう、保護者として適切に管理できているから,22
利用制限サービスの利用方法が分からない,11
無料サービスのものがあることを知らず、お金がかかると思った,5
利用制限サービス自体を知らない,4.4
子どもに利用制限サービスを設定しないようにせがまれて、仕方なく,4.1
購入時に説明を受けなかったから,4.1
利用制限サービスの必要性が分からない,3.3
その他,2.3
