内容,家庭のルール作りを推進する講座の開催
全体,20.2
小学生,21
中学生,21.4
高校生,18.2
男子,19.8
女子,20.6
加入している,26.5
加入していない,16.1
インターネットが使えない機種・設定になっている,16.2
わからない,18.2
加入している,25.1
加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,22.2
加入していないし、特段の制限も設けていない,15.1
わからない,19.5
