内容,基数,iOS,Android,その他
全体,1104,58,42.8,0.8
小学生,209,44.5,56.5,1.9
中学生,425,53.4,46.8,0.7
高校生,470,68.1,33,0.4
男子,571,56.7,44.1,0.9
女子,533,59.3,41.3,0.8
