内容,基数,各携帯電話会社の販売店,全携帯電話等会社の機種を扱う販売代理店,家電量販店,インターネット販売,その他,わからない
平成29年度,1500,63.5,5.6,18.8,7.3,2.9,1.9
平成28年度,1500,62.9,8.7,18.2,6.4,2.1,1.7
平成27年度,1500,63.2,10.2,20.4,3.4,1.1,1.7
