内容,基数,30分未満,30分以上1時間未満,1時間以上2時間未満,2時間以上3時間未満,3時間以上4時間未満,4時間以上5時間未満,5時間以上,わからない
全体,1500,29.3,12.9,19.8,14,6.1,2.2,3.6,12.1
小学生,500,62.6,12.6,13,5.2,2,0.8,0.8,3
中学生,500,18.8,17,24.4,16.8,7.8,1.8,3.2,10.2
高校生,500,6.4,9.2,22,20,8.4,4,6.8,23.2
男子,763,27.1,13.1,20.8,13.1,5.9,2.5,3.7,13.8
女子,737,31.5,12.8,18.7,14.9,6.2,1.9,3.5,10.4
