その他（主な内容）,件数,（％）
親や家族と同じ、親が管理できる機種、親のお下がり,10,0.70%
セキュリティ（位置情報、フィルタリング等）がしっかりしたもの,6,0.40%
関与していない、特に気にしていない,6,0.40%
価格と機能のバランスがよいもの,2,0.10%
その他の回答（iPhoneであること、もう買わない）等,5,0.30%
