内容,基数,守られている,だいたい守られている,あまり守られていない,守られていない,まもられているかどうかわからない
全体,1075,27.7,46,14.8,5.9,5.6
小学生,372,39.2,42.7,10.2,3.2,4.6
中学生,404,20,47.5,21.8,6.7,4
高校生,299,23.7,48.2,11,8,9
男子,547,25.8,44.6,17.2,6.4,6
女子,528,29.7,47.5,12.3,5.3,5.1
