,小学生４年生,小学生５年生,小学生６年生,中学生１年生,中学生２年生,中学生３年生,高校生１年生,高校生２年生,高校生３年生,合計
男子（人）,60,87,89,78,81,103,60,88,117,763
男子（％）,7.9,11.4,11.7,10.2,10.6,13.5,7.9,11.5,15.3,100
女子（人）,92,72,100,68,81,89,66,93,76,737
女子（％）,12.5,9.8,13.6,9.2,11,12.1,9,12.6,10.3,100
合計（人）,152,159,189,146,162,192,126,181,193,1500
合計（％）,10.1,10.6,12.6,9.7,10.8,12.8,8.4,12.1,12.9,100
