内容,平成29年度(n=1104),平成28年度(n=990),平成27年度(n=856)
子供にせがまれたため仕方なく持たせた,33.1,34,31.5
子供の所在地がわかるようにするため,30.8,28,31.7
持たせた方が、メディアリテラシーや情報処理能力がつくと思ったため,14.9,16.2,15.3
習い事や塾等で必要なため,14.1,13.2,12.9
子供の要望ではないが友達が持っており、仲間外れにされないか心配なため,12.7,10.7,9.7
携帯電話にはない便利やアプリ等を使用するため,11,11.1,11
保護者自身がスマートフォンにしたため,9.9,10.9,14.4
パソコンの代わり,7,6.4,6.8
学校の授業、宿題等で必要なため,6.6,4.6,4.3
ゲーム機の代わり,3.5,5.1,2.8
子供の疾病等があり、大切なコミュニケーション手段として活用するため,2.2,2.4,1.2
お祝い等で、親戚等からもらったため,2.1,1.9,2.5
店員に勧められた,1.3,,
その他,6.3,8,8.6
