内容,平成29年(n=1500),平成28年(n=1500),平成27年(n=1500)
有害情報サービスを除去する機能を更に強化してほしい,37.1,41.3,46.3
サービスの選択、設定方法をわかりやすくしてほしい,22.5,26.7,30.3
有害情報の判断を正確にしてほしい,19.2,25.5,25.5
できるだけ細かく設定できるようにしてほしい,16.5,17.8,17.7
今のままでよい,13.1,22.8,19.2
その他,0.3,0.8,0.9
使っていないのでわからない,23.6,,
