区市町村,度数,割合
全体,2000,100
千代田区,14,0.7
中央区,24,1.2
港区,37,1.9
新宿区,49,2.5
文京区,34,1.7
台東区,23,1.2
墨田区,27,1.4
江東区,80,4
品川区,57,2.9
目黒区,36,1.8
大田区,105,5.3
世田谷区,130,6.5
渋谷区,22,1.1
中野区,38,1.9
杉並区,86,4.3
豊島区,27,1.4
北区,49,2.5
荒川区,32,1.6
板橋区,88,4.4
練馬区,116,5.8
足立区,105,5.3
葛飾区,74,3.7
江戸川区,120,6
八王子市,71,3.6
立川市,30,1.5
武蔵野市,23,1.2
三鷹市,35,1.8
青梅市,12,0.6
府中市,39,2
昭島市,12,0.6
調布市,43,2.2
町田市,69,3.5
小金井市,14,0.7
小平市,35,1.8
日野市,29,1.5
東村山市,24,1.2
国分寺市,22,1.1
国立市,12,0.6
福生市,8,0.4
狛江市,9,0.5
東大和市,15,0.8
清瀬市,13,0.7
東久留米市,17,0.9
武蔵村山市,7,0.4
多摩市,32,1.6
稲城市,14,0.7
羽村市,4,0.2
あきる野市,5,0.3
西東京市,28,1.4
西多摩郡瑞穂町,1,0.1
西多摩郡日の出町,1,0.1
西多摩郡檜原村,0,0
西多摩郡奥多摩町,0,0
大島町,0,0
利島村,0,0
新島村,0,0
神津島村,0,0
三宅島三宅村,0,0
御蔵島村,0,0
八丈島八丈町,1,0.1
青ヶ島村,0,0
小笠原村,2,0.1
