内容,学校の授業等で、ネットの危険性について取り扱う
全体,30.8
小学生,35.4
中学生,31
高校生,26
男子,31.1
女子,30.5
加入している,30.8
加入していない,27.7
インターネットが使えない機種・設定になっている,48.6
わからない,24.1
加入している,33.9
加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,29.3
加入していないし、特段の制限も設けていない,30.5
わからない,24.1
