内容,基数,ほとんど把握している,ある程度把握している,ほとんど把握していない,全く把握していない
全体,1500,25.7,36.9,21.6,15.9
小学生,500,53.4,30.2,6.6,9.8
中学生,500,17,45.6,24.8,12.6
高校生,500,6.6,34.8,33.4,25.2
男子,763,22.5,35.6,25,16.8
女子,737,28.9,38.1,18,14.9
