内容,基数,守られている,だいたい守られている,あまり守られていない,守られていない,まもられているかどうかわからない
全体,242,38.8,47.9,10.7,0.8,1.7
小学生,119,47.1,44.5,5.9,0.8,1.7
中学生,78,32.1,47.4,19.2,0,1.3
高校生,45,28.9,57.8,8.9,2.2,2.2
男子,120,35,48.3,15,0.8,0.8
女子,122,42.6,47.5,6.6,0.8,2.5
