内容,(%)
学校の授業等で、ネットの危険性について取り扱う,30.8
家庭のルール作りを推進する講座の開催,20.2
インターネットの危険性について啓発する講演会・イベントの開催,20.1
ネットに潜む危険性に関する、より一層の広報,15.8
学校・地域（家庭外）のルール作りを推進する講座の開催,15.5
ネットトラブルの相談の充実化,12.8
子供の有害にならないよう、事業者を規制すべき,11.5
小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする,6.4
各家庭で小学生に携帯電話・スマートフォンを持たせないようにする,3.1
各家庭で中学生にスマートフォンを持たせないようにする,2.7
特に必要ない,16.4
その他,0.8
