区分１,区分２,度数計,割合計,利用料金の制限_度数,利用料金の制限_割合,利用する際のマナー（誹謗中傷することは書かない等）_度数,利用する際のマナー（誹謗中傷することは書かない等）_割合,利用するサイトやアプリを決めている_度数,利用するサイトやアプリを決めている_割合,利用する時間の制限_度数,利用する時間の制限_割合,利用する場所の制限_度数,利用する場所の制限_割合,メールなどの相手を制限_度数,メールなどの相手を制限_割合,困ったときはすぐ保護者へ相談すること_度数,困ったときはすぐ保護者へ相談すること_割合,パスワードや利用者情報が漏れないようにすること_度数,パスワードや利用者情報が漏れないようにすること_割合,その他_度数,その他_割合,作っていない_度数,作っていない_割合
全体,全体,1500,100,364,24.3,394,26.3,283,18.9,519,34.6,289,19.3,209,13.9,462,30.8,270,18,22,1.5,425,28.3
児童・生徒別,小学生,500,100,94,18.8,115,23,117,23.4,182,36.4,114,22.8,135,27,167,33.4,85,17,7,1.4,128,25.6
児童・生徒別,中学生,500,100,132,26.4,169,33.8,119,23.8,241,48.2,119,23.8,58,11.6,175,35,97,19.4,7,1.4,96,19.2
児童・生徒別,高校生,500,100,138,27.6,110,22,47,9.4,96,19.2,56,11.2,16,3.2,120,24,88,17.6,8,1.6,201,40.2
子供の性別,男子,763,100,198,26,199,26.1,131,17.2,262,34.3,142,18.6,83,10.9,203,26.6,132,17.3,9,1.2,216,28.3
子供の性別,女子,737,100,166,22.5,195,26.5,152,20.6,257,34.9,147,19.9,126,17.1,259,35.1,138,18.7,13,1.8,209,28.4
児童・生徒×子供の性別,小学生男子,236,100,49,20.8,50,21.2,52,22,87,36.9,52,22,50,21.2,65,27.5,43,18.2,4,1.7,65,27.5
児童・生徒×子供の性別,小学生女子,264,100,45,17,65,24.6,65,24.6,95,36,62,23.5,85,32.2,102,38.6,42,15.9,3,1.1,63,23.9
児童・生徒×子供の性別,中学生男子,262,100,70,26.7,90,34.4,55,21,129,49.2,64,24.4,26,9.9,77,29.4,44,16.8,3,1.1,46,17.6
児童・生徒×子供の性別,中学生女子,238,100,62,26.1,79,33.2,64,26.9,112,47.1,55,23.1,32,13.4,98,41.2,53,22.3,4,1.7,50,21
児童・生徒×子供の性別,高校生男子,265,100,79,29.8,59,22.3,24,9.1,46,17.4,26,9.8,7,2.6,61,23,45,17,2,0.8,105,39.6
児童・生徒×子供の性別,高校生女子,235,100,59,25.1,51,21.7,23,9.8,50,21.3,30,12.8,9,3.8,59,25.1,43,18.3,6,2.6,96,40.9
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,231,24.2,259,27.2,181,19,327,34.3,189,19.8,142,14.9,300,31.5,171,17.9,14,1.5,269,28.2
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,23,27.4,20,23.8,13,15.5,32,38.1,20,23.8,10,11.9,28,33.3,10,11.9,4,4.8,15,17.9
携帯電話の購入所別,家電量販店,282,100,72,25.5,67,23.8,49,17.4,93,33,45,16,34,12.1,84,29.8,55,19.5,3,1.1,86,30.5
携帯電話の購入所別,インターネット販売,109,100,24,22,37,33.9,28,25.7,47,43.1,21,19.3,17,15.6,41,37.6,28,25.7,1,0.9,23,21.1
携帯電話の購入所別,その他,43,100,9,20.9,7,16.3,8,18.6,16,37.2,11,25.6,4,9.3,6,14,4,9.3,0,0,13,30.2
携帯電話の購入所別,わからない,29,100,5,17.2,4,13.8,4,13.8,4,13.8,3,10.3,2,6.9,3,10.3,2,6.9,0,0,19,65.5
フィルタリングサービスの加入状況別,加入している,539,100,183,34,203,37.7,167,31,257,47.7,142,26.3,97,18,219,40.6,134,24.9,5,0.9,72,13.4
フィルタリングサービスの加入状況別,加入している,523,100,129,24.7,131,25,64,12.2,154,29.4,94,18,36,6.9,132,25.2,88,16.8,11,2.1,166,31.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,17,9.2,23,12.4,24,13,49,26.5,24,13,55,29.7,56,30.3,25,13.5,4,2.2,56,30.3
フィルタリングサービスの加入状況別,わからない,253,100,35,13.8,37,14.6,28,11.1,59,23.3,29,11.5,21,8.3,55,21.7,23,9.1,2,0.8,131,51.8
利用制限サービスの加入状況別,加入している,366,100,128,35,147,40.2,121,33.1,180,49.2,96,26.2,70,19.1,155,42.3,94,25.7,5,1.4,44,12
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,53,31.7,68,40.7,63,37.7,86,51.5,51,30.5,22,13.2,69,41.3,46,27.5,2,1.2,13,7.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,88,25.1,90,25.6,25,7.1,93,26.5,46,13.1,17,4.8,94,26.8,57,16.2,8,2.3,114,32.5
利用制限サービスの加入状況別,わからない,87,100,18,20.7,11,12.6,10,11.5,21,24.1,8,9.2,2,2.3,18,20.7,8,9.2,0,0,40,46
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,127,23.1,157,28.5,138,25.1,221,40.2,151,27.5,127,23.1,204,37.1,120,21.8,12,2.2,123,22.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,184,28.8,196,30.7,127,19.9,246,38.5,122,19.1,76,11.9,225,35.2,122,19.1,4,0.6,123,19.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,39,18.8,35,16.8,14,6.7,47,22.6,12,5.8,4,1.9,29,13.9,22,10.6,6,2.9,102,49
利用状況の管理状態別,子供の利用状況に関心がない,98,100,12,12.2,5,5.1,4,4.1,4,4.1,3,3.1,2,2,1,1,5,5.1,0,0,75,76.5
利用状況の管理状態別,その他,5,100,2,40,1,20,0,0,1,20,1,20,0,0,3,60,1,20,0,0,2,40
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,147,31.2,160,34,113,24,189,40.1,105,22.3,75,15.9,205,43.5,110,23.4,7,1.5,88,18.7
説明・学習経験別,インターネットで調べた,482,100,150,31.1,169,35.1,124,25.7,213,44.2,125,25.9,84,17.4,179,37.1,105,21.8,7,1.5,80,16.6
説明・学習経験別,学校から配布される資料等を読んだ,537,100,155,28.9,213,39.7,154,28.7,247,46,155,28.9,115,21.4,264,49.2,149,27.7,11,2,63,11.7
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,110,33.3,133,40.3,96,29.1,146,44.2,96,29.1,73,22.1,160,48.5,109,33,3,0.9,48,14.5
説明・学習経験別,知識のある知人から説明を受けた,74,100,35,47.3,35,47.3,31,41.9,38,51.4,25,33.8,17,23,38,51.4,23,31.1,1,1.4,12,16.2
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,44,38.9,43,38.1,44,38.9,55,48.7,39,34.5,25,22.1,50,44.2,31,27.4,3,2.7,24,21.2
