その他（主な内容）,件数,（％）
進学のタイミング（お祝い、約束含む）,20,1.80%
学校部活で必要なため,11,1.00%
連絡手段として使うため,11,1.00%
携帯電話の故障、更新、機種変更のため,8,0.70%
その他の回答（必要だから、周りが持っているから、アプリを使うため）等,20,1.80%
