内容,平成29年度(n=344),平成28年度(n=371),平成27年度(n=321)
使い方は個人の問題だから,49.7,53.1,46.7
家庭のルールがあれば十分だ,34.6,31.3,31.5
子供同士も失敗の中で経験を積むべきだ,18.9,16.7,17.4
子供同士でルールを決めても守らないと思う,17.2,12.1,17.1
友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う,11.6,18.1,18.4
ルールで子供をしばりたくない,8.7,7.3,4.7
その他,2,3.5,7.8
