その他（主な内容）,件数,（％）
アプリがよくない、使いづらい,3,0.60%
必要なことができなくなる,2,0.40%
インターネットを使えなくしている,2,0.40%
その他の回答（家族の端末を使っている、利用を管理をしている）等,5,1.00%
