内容,基数,未就学児,小学1～2年生,小学3～4年生,小学5～6年生,中学1年生,中学2年生,中学3年生,高校1年生,高校2年生,高校3年生
平成29年度,1104,0.7,2.6,7.7,21.6,28.2,8,10.8,18.2,1.1,1.2
平成28年度,990,0.2,1.4,7.9,15.4,29.6,10.4,12.7,20.5,1.3,0.6
平成27年度,856,0.6,2.1,5,16.7,25.9,11.3,11.8,23.4,1.9,1.3
