内容,基数,加入している,加入していない,インターネットが使えない機種・設定になっている,わからない
全体,1500,35.9,34.9,12.3,16.9
小学生,500,31.6,25.8,29.6,13
中学生,500,45.6,33.4,5.2,15.8
高校生,500,30.6,45.4,2.2,21.8
男子,763,37.5,34.7,11.7,16.1
女子,737,34.3,35,13,17.6
小学生男性,236,34.7,24.2,28.4,12.7
小学生女子,264,28.8,27.3,30.7,13.3
中学生男子,262,47.7,30.5,6.9,14.9
中学生女子,238,43.3,36.6,3.4,16.8
高校生男子,265,29.8,48.3,1.5,20.4
高校生女子,235,31.5,42.1,3,23.4
