内容,(%)
インターネットや携帯電話等について、子供に教育できる十分な知識を身につけること,43.5
親子のコミュニケーションを緊密にすること,37.4
子供の使用状況について、保護者がもっと関心を払うこと,30.9
携帯電話等の使い方について家庭のルールを作る,18.3
携帯電話等の使い方について、友達の間でのルールを作るサポートをする,4.3
他の子供の保護者等ともっと情報交換すること,3.9
今のままで問題ない,14.6
その他,0.3
