内容,基数,加入している,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,加入していないし、特段の制限も設けていない,わからない
平成29年度,971,37.7,17.2,36.1,9
平成28年度,847,30.8,21.6,37.5,10
平成27年度,686,33.8,21.6,36.7,7.9
