その他（主な内容）,件数,（％）
友達、子供同士では使えない,2,0.60%
ルールを決めなくても状況に応じてそれぞれ対応するから,2,0.60%
特に理由はない,1,0.30%
その他の回答（高校生なので、子どもの決めたルールは不条理）等,2,0.60%
