その他（主な内容）,件数,（％）
もともと詳しい（職業柄知見がある、IT専門家、家族がIT企業に勤務）,4,0.30%
学校で授業や講習を受けた,2,0.10%
親が説明した,1,0.10%
関与していない、わからない,2,0.10%
