内容,(%)
友達が使用していると、つられて使用してしまうから,28.6
まじめに守ると友人関係に影響があるから,25
友達同士でも、塾などで生活リズムが異なるから,25
家庭環境が違うから,25
ルールが厳しすぎるから,17.9
その他,0
