内容,学校の授業等で、ネットの危険性について取り扱う,家庭のルール作りを推進する講座の開催,インターネットの危険性について啓発する講演会・イベントの開催
全体,30.8,20.2,20.1
小学生,35.4,21,20.8
中学生,31,21.4,18.4
高校生,26,18.2,21.2
男子,31.1,19.8,20.6
女子,30.5,20.6,19.7
加入している,30.8,26.5,23.7
加入していない,27.7,16.1,20.5
インターネットが使えない機種・設定になっている,48.6,16.2,18.9
わからない,24.1,18.2,12.6
加入している,33.9,25.1,22.4
加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,29.3,22.2,35.3
加入していないし、特段の制限も設けていない,30.5,15.1,18.5
わからない,24.1,19.5,11.5
