内容,基数,携帯電話,スマートフォン,携帯ゲーム機,タブレット型携帯端末,携帯音楽プレーヤー
全体,2000,22.3,49.5,27.3,13.3,12
小学生低学年,500,33.8,18,22.6,12.2,2.6
小学生高学年,500,35.4,24.2,32.4,17.2,7.6
中学生,500,14.2,66.6,32,12.2,18.8
高校生,500,5.6,89.2,22.2,11.6,18.8
男子,1000,19.7,50.1,33.2,13.9,9
女子,1000,24.8,48.9,21.4,12.7,14.9
小学生低学年男子,250,31.6,21.2,26,13.2,2
小学生低学年女子,250,36,14.8,19.2,11.2,3.2
小学生高学年男子,250,29.6,24,39.6,17.6,4.8
小学生高学年女子,250,41.2,24.4,25.2,16.8,10.4
中学生男子,250,13.2,63.2,38.4,12.8,14.8
中学生女子,250,15.2,70,25.6,11.6,22.8
高校生男子,250,4.4,92,28.8,12,14.4
高校生女子,250,6.8,86.4,15.6,11.2,23.2
