内容,平成29年度(n=412),平成28年度(n=510),平成27年度(n=654)
子供といつでも連絡が取れるようにするため,85.7,87.3,87.9
子供の所在地がわかるようにするため,51.5,50.2,48.6
持たせたほうが、メディアリテラシーや情報処理能力がつくと思ったため,2.9,1.8,0.8
子供にせがまれたため仕方なく持たせた,2.4,2.7,3.7
子供の疾病とうがあり、大切なコミュニケーション手段として活用するため,1.9,1,0.2
お祝い等で、親戚等からもらったため,1.7,0.6,0.3
子供の要望ではないが友達が持っており、仲間外れにされないか心配なため,1.5,1.4,2.3
その他,2.4,5.3,4.9
