区分１,区分２,度数計,割合計,携帯電話（ガラホ、ＰＨＳ、キッズケータイを含む）_度数,携帯電話（ガラホ、ＰＨＳ、キッズケータイを含む）_割合,スマートフォン_度数,スマートフォン_割合,携帯ゲーム機_度数,携帯ゲーム機_割合,タブレット型携帯端末_度数,タブレット型携帯端末_割合,携帯音楽プレーヤー_度数,携帯音楽プレーヤー_割合,いずれも利用していない_度数,いずれも利用していない_割合
総数,,2000,100,445,22.25,990,49.5,546,27.3,266,13.3,239,11.95,357,17.85
児童・生徒別,小学生低学年,500,100,169,33.8,90,18,113,22.6,61,12.2,13,2.6,177,35.4
児童・生徒別,小学生高学年,500,100,177,35.4,121,24.2,162,32.4,86,17.2,38,7.6,116,23.2
児童・生徒別,中学生,500,100,71,14.2,333,66.6,160,32,61,12.2,94,18.8,49,9.8
児童・生徒別,高校生,500,100,28,5.6,446,89.2,111,22.2,58,11.6,94,18.8,15,3
性別,男子,1000,100,197,19.7,501,50.1,332,33.2,139,13.9,90,9,178,17.8
性別,女子,1000,100,248,24.8,489,48.9,214,21.4,127,12.7,149,14.9,179,17.9
属性,小学生低学年男子,250,100,79,31.6,53,21.2,65,26,33,13.2,5,2,87,34.8
属性,小学生低学年女子,250,100,90,36,37,14.8,48,19.2,28,11.2,8,3.2,90,36
属性,小学生高学年男子,250,100,103,41.2,61,24.4,63,25.2,42,16.8,26,10.4,58,23.2
属性,小学生高学年女子,250,100,74,29.6,60,24,99,39.6,44,17.6,12,4.8,58,23.2
属性,中学生男子,250,100,33,13.2,158,63.2,96,38.4,32,12.8,37,14.8,28,11.2
属性,中学生女子,250,100,38,15.2,175,70,64,25.6,29,11.6,57,22.8,21,8.4
属性,高校生男子,250,100,11,4.4,230,92,72,28.8,30,12,36,14.4,5,2
属性,高校生女子,250,100,17,6.8,216,86.4,39,15.6,28,11.2,58,23.2,10,4
