区_度数分１,区_度数分２,度数計,割合計,千代田区_度数,千代田区_割合,中央区_度数,中央区_割合,港区_度数,港区_割合,新宿区_度数,新宿区_割合,文京区_度数,文京区_割合,台東区_度数,台東区_割合,墨田区_度数,墨田区_割合,江東区_度数,江東区_割合,品川区_度数,品川区_割合,目黒区_度数,目黒区_割合,大田区_度数,大田区_割合,世田谷区_度数,世田谷区_割合,渋谷区_度数,渋谷区_割合,中野区_度数,中野区_割合,杉並区_度数,杉並区_割合,豊島区_度数,豊島区_割合,北区_度数,北区_割合,荒川区_度数,荒川区_割合,板橋区_度数,板橋区_割合,練馬区_度数,練馬区_割合,足立区_度数,足立区_割合,葛飾区_度数,葛飾区_割合,江戸川区_度数,江戸川区_割合,八王子市_度数,八王子市_割合,立川市_度数,立川市_割合,武蔵野市_度数,武蔵野市_割合,三鷹市_度数,三鷹市_割合,青梅市_度数,青梅市_割合,府中市_度数,府中市_割合,昭島市_度数,昭島市_割合,調布市_度数,調布市_割合,町田市_度数,町田市_割合,小金井市_度数,小金井市_割合,小平市_度数,小平市_割合,日野市_度数,日野市_割合,東村山市_度数,東村山市_割合,国分寺市_度数,国分寺市_割合,国立市_度数,国立市_割合,福生市_度数,福生市_割合,狛江市_度数,狛江市_割合,東大和市_度数,東大和市_割合,清瀬市_度数,清瀬市_割合,東久留米市_度数,東久留米市_割合,武蔵村山市_度数,武蔵村山市_割合,多摩市_度数,多摩市_割合,稲城市_度数,稲城市_割合,羽村市_度数,羽村市_割合,あきる野市_度数,あきる野市_割合,西東京市_度数,西東京市_割合,西多摩郡瑞穂町_度数,西多摩郡瑞穂町_割合,西多摩郡日の出町_度数,西多摩郡日の出町_割合,西多摩郡檜原村_度数,西多摩郡檜原村_割合,西多摩郡奥多摩町_度数,西多摩郡奥多摩町_割合,大島町_度数,大島町_割合,利島村_度数,利島村_割合,新島村_度数,新島村_割合,神津島村_度数,神津島村_割合,三宅島三宅村_度数,三宅島三宅村_割合,御蔵島村_度数,御蔵島村_割合,八丈島八丈町_度数,八丈島八丈町_割合,青ヶ島村_度数,青ヶ島村_割合,小笠原村_度数,小笠原村_割合
全体,全体,1500,100,11,0.7,21,1.4,22,1.5,32,2.1,25,1.7,18,1.2,23,1.5,67,4.5,44,2.9,28,1.9,87,5.8,99,6.6,18,1.2,36,2.4,59,3.9,18,1.2,38,2.5,26,1.7,65,4.3,81,5.4,82,5.5,47,3.1,88,5.9,60,4,19,1.3,13,0.9,20,1.3,10,0.7,32,2.1,16,1.1,34,2.3,58,3.9,9,0.6,21,1.4,24,1.6,18,1.2,11,0.7,10,0.7,5,0.3,4,0.3,4,0.3,6,0.4,12,0.8,7,0.5,12,0.8,17,1.1,6,0.4,6,0.4,27,1.8,1,0.1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒別,小学生,500,100,6,1.2,9,1.8,10,2,9,1.8,14,2.8,10,2,5,1,27,5.4,15,3,8,1.6,20,4,32,6.4,8,1.6,10,2,17,3.4,6,1.2,11,2.2,10,2,27,5.4,28,5.6,32,6.4,17,3.4,25,5,17,3.4,5,1,7,1.4,5,1,3,0.6,14,2.8,8,1.6,11,2.2,15,3,2,0.4,7,1.4,6,1.2,7,1.4,3,0.6,4,0.8,1,0.2,0,0,2,0.4,0,0,6,1.2,0,0,2,0.4,7,1.4,1,0.2,2,0.4,8,1.6,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒別,中学生,500,100,4,0.8,6,1.2,7,1.4,13,2.6,3,0.6,5,1,4,0.8,21,4.2,16,3.2,9,1.8,38,7.6,35,7,7,1.4,10,2,21,4.2,5,1,12,2.4,7,1.4,17,3.4,25,5,28,5.6,15,3,35,7,18,3.6,9,1.8,4,0.8,9,1.8,5,1,3,0.6,3,0.6,10,2,25,5,5,1,7,1.4,11,2.2,5,1,3,0.6,1,0.2,2,0.4,1,0.2,2,0.4,3,0.6,3,0.6,4,0.8,5,1,5,1,2,0.4,2,0.4,9,1.8,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒別,高校生,500,100,1,0.2,6,1.2,5,1,10,2,8,1.6,3,0.6,14,2.8,19,3.8,13,2.6,11,2.2,29,5.8,32,6.4,3,0.6,16,3.2,21,4.2,7,1.4,15,3,9,1.8,21,4.2,28,5.6,22,4.4,15,3,28,5.6,25,5,5,1,2,0.4,6,1.2,2,0.4,15,3,5,1,13,2.6,18,3.6,2,0.4,7,1.4,7,1.4,6,1.2,5,1,5,1,2,0.4,3,0.6,0,0,3,0.6,3,0.6,3,0.6,5,1,5,1,3,0.6,2,0.4,10,2,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
子供の性別,男子,763,100,5,0.7,12,1.6,12,1.6,22,2.9,14,1.8,10,1.3,12,1.6,36,4.7,25,3.3,15,2,40,5.2,39,5.1,12,1.6,19,2.5,36,4.7,12,1.6,15,2,12,1.6,29,3.8,44,5.8,42,5.5,27,3.5,42,5.5,28,3.7,9,1.2,9,1.2,12,1.6,3,0.4,14,1.8,9,1.2,18,2.4,27,3.5,4,0.5,13,1.7,10,1.3,11,1.4,5,0.7,7,0.9,4,0.5,1,0.1,1,0.1,3,0.4,9,1.2,3,0.4,3,0.4,7,0.9,0,0,4,0.5,15,2,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
子供の性別,女子,737,100,6,0.8,9,1.2,10,1.4,10,1.4,11,1.5,8,1.1,11,1.5,31,4.2,19,2.6,13,1.8,47,6.4,60,8.1,6,0.8,17,2.3,23,3.1,6,0.8,23,3.1,14,1.9,36,4.9,37,5,40,5.4,20,2.7,46,6.2,32,4.3,10,1.4,4,0.5,8,1.1,7,0.9,18,2.4,7,0.9,16,2.2,31,4.2,5,0.7,8,1.1,14,1.9,7,0.9,6,0.8,3,0.4,1,0.1,3,0.4,3,0.4,3,0.4,3,0.4,4,0.5,9,1.2,10,1.4,6,0.8,2,0.3,12,1.6,0,0,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,小学生男子,236,100,2,0.8,5,2.1,5,2.1,7,3,6,2.5,6,2.5,1,0.4,15,6.4,9,3.8,3,1.3,6,2.5,10,4.2,6,2.5,4,1.7,8,3.4,4,1.7,6,2.5,4,1.7,13,5.5,14,5.9,15,6.4,8,3.4,9,3.8,8,3.4,1,0.4,5,2.1,2,0.8,2,0.8,6,2.5,4,1.7,7,3,6,2.5,0,0,5,2.1,4,1.7,2,0.8,1,0.4,2,0.8,1,0.4,0,0,0,0,0,0,5,2.1,0,0,0,0,3,1.3,0,0,1,0.4,5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,小学生女子,264,100,4,1.5,4,1.5,5,1.9,2,0.8,8,3,4,1.5,4,1.5,12,4.5,6,2.3,5,1.9,14,5.3,22,8.3,2,0.8,6,2.3,9,3.4,2,0.8,5,1.9,6,2.3,14,5.3,14,5.3,17,6.4,9,3.4,16,6.1,9,3.4,4,1.5,2,0.8,3,1.1,1,0.4,8,3,4,1.5,4,1.5,9,3.4,2,0.8,2,0.8,2,0.8,5,1.9,2,0.8,2,0.8,0,0,0,0,2,0.8,0,0,1,0.4,0,0,2,0.8,4,1.5,1,0.4,1,0.4,3,1.1,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,中学生男子,262,100,2,0.8,4,1.5,3,1.1,8,3.1,2,0.8,2,0.8,2,0.8,11,4.2,10,3.8,5,1.9,16,6.1,16,6.1,5,1.9,7,2.7,14,5.3,2,0.8,6,2.3,4,1.5,8,3.1,19,7.3,17,6.5,11,4.2,16,6.1,7,2.7,5,1.9,3,1.1,5,1.9,0,0,1,0.4,2,0.8,5,1.9,12,4.6,3,1.1,2,0.8,3,1.1,5,1.9,0,0,1,0.4,1,0.4,0,0,1,0.4,1,0.4,3,1.1,3,1.1,0,0,1,0.4,0,0,2,0.8,5,1.9,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,中学生女子,238,100,2,0.8,2,0.8,4,1.7,5,2.1,1,0.4,3,1.3,2,0.8,10,4.2,6,2.5,4,1.7,22,9.2,19,8,2,0.8,3,1.3,7,2.9,3,1.3,6,2.5,3,1.3,9,3.8,6,2.5,11,4.6,4,1.7,19,8,11,4.6,4,1.7,1,0.4,4,1.7,5,2.1,2,0.8,1,0.4,5,2.1,13,5.5,2,0.8,5,2.1,8,3.4,0,0,3,1.3,0,0,1,0.4,1,0.4,1,0.4,2,0.8,0,0,1,0.4,5,2.1,4,1.7,2,0.8,0,0,4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
