内容,基数,携帯電話,スマートフォン,両方持っている,持っていない
全体,1500,11.1,82.6,5.4,0.9
小学生,500,10.4,83.2,5.4,1
中学生,500,10.2,84.4,4.8,0.6
高校生,500,12.8,80.2,6,1
男子,763,10.9,82.3,5.9,0.9
女子,737,11.4,82.9,4.9,0.8
