その他（主な内容）,件数,（％）
身内や家族との連絡用,2,0.50%
塾や習い事に行く時の連絡手段,1,0.20%
防犯のため,1,0.20%
学校からの指示,1,0.20%
その他の回答（防犯ブザーに通話機能付加、契約に伴うキャンペーン）等,5,1.20%
