区分１,区分２,度数計,割合計,メールが原因で友達等とトラブルになった_度数,メールが原因で友達等とトラブルになった_割合,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった_度数,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった_割合,メールで誹謗中傷、チェーンメールなどが届いた_度数,メールで誹謗中傷、チェーンメールなどが届いた_割合,身に覚えのない料金請求のメールが届いた_度数,身に覚えのない料金請求のメールが届いた_割合,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた_度数,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた_割合,歩きスマホ等により何らかのトラブルにあった_度数,歩きスマホ等により何らかのトラブルにあった_割合,個人情報を知られた（盗まれた）_度数,個人情報を知られた（盗まれた）_割合,掲示板等に個人の誹謗中傷などの書き込みをされた_度数,掲示板等に個人の誹謗中傷などの書き込みをされた_割合,下着姿や裸の写真を撮ったり送ったりしていた_度数,下着姿や裸の写真を撮ったり送ったりしていた_割合,ネット上で知り合った人と会う約束をしたり、実際に会う等していた_度数,ネット上で知り合った人と会う約束をしたり、実際に会う等していた_割合,その他_度数,その他_割合,トラブルに遭ったことはない_度数,トラブルに遭ったことはない_割合,わからない_度数,わからない_割合
全体,全体,1500,100,69,4.6,74,4.9,63,4.2,46,3.1,25,1.7,28,1.9,9,0.6,14,0.9,5,0.3,13,0.9,9,0.6,1052,70.1,206,13.7
子供のインターネットでのやり取り相手の把握状況別,ほとんど把握している,385,100,16,4.2,10,2.6,13,3.4,6,1.6,2,0.5,7,1.8,2,0.5,2,0.5,1,0.3,1,0.3,2,0.5,325,84.4,17,4.4
子供のインターネットでのやり取り相手の把握状況別,ある程度把握している,553,100,38,6.9,49,8.9,35,6.3,23,4.2,13,2.4,11,2,4,0.7,6,1.1,2,0.4,4,0.7,5,0.9,389,70.3,43,7.8
子供のインターネットでのやり取り相手の把握状況別,ほとんど把握していない,324,100,10,3.1,9,2.8,13,4,13,4,9,2.8,8,2.5,2,0.6,5,1.5,0,0,4,1.2,1,0.3,200,61.7,67,20.7
子供のインターネットでのやり取り相手の把握状況別,全く把握していない,238,100,5,2.1,6,2.5,2,0.8,4,1.7,1,0.4,2,0.8,1,0.4,1,0.4,2,0.8,4,1.7,1,0.4,138,58,79,33.2
