国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成25年中の増減
総数,0,13000,総数,-2531,-1568,-681,-285,190,1109,703,1158,1499,896,-319,-197,-26
総数,1,13100,区部,-1703,-994,-328,-24,240,956,626,924,1368,864,-147,119,1901
総数,1,13200,市部,-752,-499,-287,-192,10,193,108,260,194,118,-89,-240,-1176
総数,2,13300,郡部,-57,-50,-38,-51,-54,-36,-30,-24,-46,-41,-64,-56,-547
総数,2,13350,島部,-19,-25,-28,-18,-6,-4,-1,-2,-17,-45,-19,-20,-204
総数,1,13100,区部,-1703,-994,-328,-24,240,956,626,924,1368,864,-147,119,1901
総数,4,13101,千代田区,-11,-2,10,0,-5,-2,13,13,5,21,14,7,63
総数,4,13102,中央区,50,55,46,64,89,109,102,70,95,65,72,60,877
総数,4,13103,港区,86,47,64,91,125,111,83,102,134,112,87,99,1141
総数,4,13104,新宿区,-94,-26,-24,-42,-44,8,-4,26,30,27,-16,2,-157
総数,4,13105,文京区,-41,-5,6,22,31,37,44,47,49,25,4,17,236
総数,4,13106,台東区,-83,-85,-39,-51,-43,5,-61,1,-46,-37,-52,-54,-545
総数,4,13107,墨田区,-68,-34,-2,6,-47,-16,-11,1,21,44,-26,-6,-138
総数,4,13108,江東区,-23,23,42,60,88,135,128,97,178,147,60,7,942
総数,4,13109,品川区,-32,-9,-19,-2,31,80,40,92,107,144,40,11,483
総数,4,13110,目黒区,5,-12,19,35,36,66,38,75,76,43,27,37,445
総数,4,13111,大田区,-221,-93,-86,-72,18,50,-5,26,102,48,-65,-25,-323
総数,4,13112,世田谷区,-65,9,51,135,128,178,150,181,147,197,75,80,1266
総数,4,13113,渋谷区,10,4,45,23,39,42,41,57,18,54,34,82,449
総数,4,13114,中野区,-91,-41,12,-6,-39,43,-9,2,31,-11,-28,-40,-177
総数,4,13115,杉並区,-126,-78,-15,10,22,24,51,42,111,14,-30,-5,20
総数,4,13116,豊島区,-185,-157,-98,-158,-89,-45,-91,-68,-24,-81,-162,-28,-1186
総数,4,13117,北区,-158,-147,-74,-74,-72,-15,-92,-21,19,-21,-10,-82,-747
総数,4,13118,荒川区,-62,-51,-39,-29,-1,9,2,3,0,3,-34,-14,-213
総数,4,13119,板橋区,3,-68,-102,8,11,46,-18,-6,79,-24,-52,-76,-199
総数,4,13120,練馬区,-81,-19,-1,102,49,98,93,146,82,73,7,34,583
総数,4,13121,足立区,-292,-234,-53,-78,-101,-36,19,-1,20,-32,-106,-89,-983
