国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成25年中の転入者数
総数,0,13000,総数,24947,26967,84148,70321,31502,25200,30768,29415,26932,29416,24878,25291,429785
総数,1,13100,区部,19670,21211,62552,50816,24437,19731,24109,22665,20689,22650,19234,19272,327036
総数,1,13200,市部,5212,5662,21369,19234,6964,5376,6574,6663,6148,6681,5575,5941,101399
総数,2,13300,郡部,39,52,111,68,51,39,44,42,48,42,31,45,612
総数,2,13350,島部,26,42,116,203,50,54,41,45,47,43,38,33,738
総数,1,13100,区部,19670,21211,62552,50816,24437,19731,24109,22665,20689,22650,19234,19272,327036
総数,4,13101,千代田区,192,189,502,604,192,166,210,217,199,206,189,203,3069
総数,4,13102,中央区,497,422,1152,1000,544,418,518,474,518,513,452,450,6958
総数,4,13103,港区,722,678,1710,1397,820,632,763,692,629,734,669,661,10107
総数,4,13104,新宿区,964,979,2888,2556,1078,922,1171,1096,1031,1083,936,970,15674
総数,4,13105,文京区,532,547,2089,1546,700,440,589,564,569,643,479,489,9187
総数,4,13106,台東区,515,514,1120,1084,607,488,568,496,517,588,521,530,7548
総数,4,13107,墨田区,560,740,1610,1206,708,576,688,657,600,671,561,578,9155
総数,4,13108,江東区,914,1004,2869,2529,1425,1079,1244,1145,1093,1321,1015,1043,16681
総数,4,13109,品川区,934,961,2594,2158,1158,973,1073,913,968,985,906,940,14563
総数,4,13110,目黒区,687,769,2129,1793,838,646,801,784,647,757,627,603,11081
総数,4,13111,大田区,1627,1791,5649,4123,2107,1647,2054,1959,1674,1881,1601,1511,27624
総数,4,13112,世田谷区,1924,2041,6436,5177,2142,1978,2272,2376,1937,1928,1850,1853,31914
総数,4,13113,渋谷区,599,616,1581,1370,655,578,609,648,549,546,597,542,8890
総数,4,13114,中野区,816,893,2545,2030,974,737,1025,976,841,968,724,733,13262
総数,4,13115,杉並区,1146,1239,4314,3276,1390,1180,1364,1275,1134,1262,1101,1106,19787
総数,4,13116,豊島区,782,887,2270,1888,932,827,925,846,848,897,744,755,12601
総数,4,13117,北区,724,747,2162,2083,933,817,978,826,833,873,709,708,12393
総数,4,13118,荒川区,387,438,1144,889,448,365,494,438,438,499,411,382,6333
総数,4,13119,板橋区,1044,1126,3676,2742,1396,1029,1317,1148,1163,1180,1020,1084,17925
総数,4,13120,練馬区,1266,1419,4809,3673,1615,1223,1644,1516,1273,1414,1103,1198,22153
総数,4,13121,足立区,1003,1114,3234,2406,1285,1028,1272,1085,1117,1290,1106,1005,16945
総数,4,13122,葛飾区,663,765,1953,1817,895,735,842,1015,770,855,679,692,11681
総数,4,13123,江戸川区,1172,1332,4116,3469,1595,1247,1688,1519,1341,1556,1234,1236,21505
総数,1,13200,市部,5212,5662,21369,19234,6964,5376,6574,6663,6148,6681,5575,5941,101399
総数,4,13201,八王子市,654,661,2797,3190,828,653,753,730,733,878,625,707,13209
総数,4,13202,立川市,205,242,848,853,272,210,351,274,251,266,205,213,4190
総数,4,13203,武蔵野市,215,255,1061,803,369,242,318,349,285,266,212,186,4561
総数,4,13204,三鷹市,290,286,1132,979,313,293,321,335,332,297,294,301,5173
総数,4,13205,青梅市,90,85,354,232,151,100,111,129,112,119,87,104,1674
総数,4,13206,府中市,308,385,1871,1858,559,306,403,423,551,633,310,336,7943
総数,4,13207,昭島市,100,93,331,365,132,107,109,121,109,132,74,94,1767
総数,4,13208,調布市,325,355,1566,1175,464,339,473,465,400,418,316,310,6606
総数,4,13209,町田市,778,836,2401,1821,931,747,858,954,758,912,862,839,12697
総数,4,13210,小金井市,196,213,919,804,262,198,269,253,202,229,150,177,3872
総数,4,13211,小平市,241,274,994,1110,286,279,295,287,301,297,216,187,4767
総数,4,13212,日野市,200,227,813,864,254,235,230,241,235,228,228,244,3999
総数,4,13213,東村山市,162,187,583,448,196,151,241,215,162,176,168,186,2875
総数,4,13214,国分寺市,168,211,897,691,243,204,240,236,231,252,191,195,3759
総数,4,13215,国立市,83,107,425,374,136,111,134,119,122,121,80,97,1909
総数,4,13218,福生市,63,39,222,116,70,60,75,79,68,63,72,56,983
総数,4,13219,狛江市,137,166,579,383,189,161,194,229,164,167,173,164,2706
総数,4,13220,東大和市,51,53,197,144,86,63,59,61,93,66,132,89,1094
総数,4,13221,清瀬市,120,125,258,310,129,98,109,83,120,154,125,116,1747
総数,4,13222,東久留米市,119,148,479,480,166,126,190,151,134,164,145,170,2472
総数,4,13223,武蔵村山市,41,40,191,109,74,62,77,119,54,58,88,45,958
総数,4,13224,多摩市,158,148,785,573,237,154,189,216,202,186,336,603,3787
総数,4,13225,稲城市,139,128,432,360,181,158,168,152,154,162,151,161,2346
総数,4,13227,羽村市,44,40,123,201,60,50,50,65,46,51,37,42,809
総数,4,13228,あきる野市,67,60,169,110,56,33,60,59,59,72,49,40,834
総数,4,13229,西東京市,258,298,942,881,320,236,297,318,270,314,249,279,4662
総数,1,13550,町村部,65,94,227,271,101,93,85,87,95,85,69,78,1350
総数,2,13300,郡部,39,52,111,68,51,39,44,42,48,42,31,45,612
総数,4,13303,瑞穂町,20,24,62,46,34,25,34,29,36,29,21,23,383
