国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,平成25年中の増減
総数,0,13000,総数,-1624,-1633,1520,6150,476,-504,1333,-2938,1539,5316,-761,-3707,5167
総数,1,13100,区部,-1520,-1211,1435,5460,397,-608,1369,-2046,1063,4896,-414,-3214,5607
総数,1,13200,市部,-107,-418,105,701,83,77,-44,-893,482,421,-337,-487,-417
総数,2,13300,郡部,-4,-3,-18,-5,-4,17,2,1,-11,4,-10,-1,-32
総数,2,13350,島部,7,-1,-2,-6,0,10,6,0,5,-5,0,-5,9
総数,1,13100,区部,-1520,-1211,1435,5460,397,-608,1369,-2046,1063,4896,-414,-3214,5607
総数,4,13101,千代田区,-31,40,23,41,22,-10,0,-32,16,42,12,-76,47
総数,4,13102,中央区,2,-17,-57,102,18,14,37,-30,46,67,-3,-50,129
総数,4,13103,港区,144,-332,68,66,-31,-425,-247,-18,30,127,13,-344,-949
総数,4,13104,新宿区,-670,-142,82,1309,20,-66,40,-166,416,1024,24,-309,1562
総数,4,13105,文京区,-17,-77,66,109,-19,3,-58,-70,118,102,-40,-88,29
総数,4,13106,台東区,44,20,73,281,37,7,100,-22,48,282,72,-78,864
総数,4,13107,墨田区,52,21,-3,49,-1,53,75,9,28,85,23,22,413
総数,4,13108,江東区,-407,36,-33,101,41,-58,42,-111,-107,133,40,-97,-420
総数,4,13109,品川区,-55,13,-154,57,1,20,-40,-52,0,30,-93,-74,-347
総数,4,13110,目黒区,-81,-57,74,279,-9,2,95,-70,34,155,0,-140,282
総数,4,13111,大田区,16,6,73,187,80,63,79,-166,53,102,-30,-135,328
総数,4,13112,世田谷区,-129,-88,75,276,18,-33,-41,-370,131,114,-106,-154,-307
総数,4,13113,渋谷区,-198,-32,4,48,-32,-90,-122,-91,62,20,-66,-184,-681
総数,4,13114,中野区,9,-268,158,269,-40,-41,75,-96,43,245,-133,-220,1
総数,4,13115,杉並区,-30,-145,108,240,-37,22,178,-175,24,141,-19,-142,165
総数,4,13116,豊島区,63,171,148,315,66,-12,379,-144,174,598,56,-66,1748
総数,4,13117,北区,-119,33,3,256,10,4,97,-60,36,289,-31,6,524
総数,4,13118,荒川区,-22,5,33,246,48,-2,107,-12,61,279,22,-47,718
総数,4,13119,板橋区,-166,-41,-72,320,29,1,163,6,115,390,-51,-232,462
総数,4,13120,練馬区,-101,-92,97,161,38,6,-19,-171,77,163,-79,-121,-41
総数,4,13121,足立区,-24,-66,-74,55,58,-8,8,-131,16,13,1,-67,-219
総数,4,13122,葛飾区,58,-19,86,122,62,53,144,0,35,169,-7,-239,464
総数,4,13123,江戸川区,142,-180,657,571,18,-111,277,-74,-393,326,-19,-379,835
総数,1,13200,市部,-107,-418,105,701,83,77,-44,-893,482,421,-337,-487,-417
総数,4,13201,八王子市,23,-120,-15,143,-3,44,7,-164,98,17,-21,-42,-33
総数,4,13202,立川市,10,12,-29,22,12,0,30,0,4,17,-38,-7,33
総数,4,13203,武蔵野市,6,-24,23,4,-11,18,25,-39,12,47,9,-35,35
総数,4,13204,三鷹市,8,-61,12,57,6,-35,-14,-21,50,83,-43,-44,-2
総数,4,13205,青梅市,-12,4,21,5,2,10,-2,-19,-14,-8,-9,-9,-31
総数,4,13206,府中市,9,-52,-25,194,30,20,23,-51,91,37,7,35,318
総数,4,13207,昭島市,-20,-21,-36,-27,-13,-14,30,-44,-5,-10,-64,-22,-246
総数,4,13208,調布市,15,-11,-12,0,-7,36,16,-44,18,4,-32,-8,-25
総数,4,13209,町田市,-11,-24,61,40,2,-13,-4,-46,33,-10,-15,-25,-12
総数,4,13210,小金井市,-20,0,2,-18,18,29,-29,16,32,62,-31,-82,-21
総数,4,13211,小平市,-49,-54,-28,25,-20,-30,-16,-138,58,62,-14,-10,-214
総数,4,13212,日野市,16,-26,-4,85,10,-7,-11,-59,35,44,14,-11,86
総数,4,13213,東村山市,-12,-5,11,-9,-5,3,-27,-26,21,9,-7,-32,-79
総数,4,13214,国分寺市,7,-3,28,20,-8,-20,-7,-25,-3,17,-13,1,-6
総数,4,13215,国立市,12,14,36,22,12,-6,6,2,-1,4,-9,-50,42
総数,4,13218,福生市,-21,8,-4,81,31,-14,-12,-5,-20,37,-26,16,71
総数,4,13219,狛江市,-3,-13,43,-4,8,-5,-35,-13,40,12,0,-10,20
総数,4,13220,東大和市,7,5,9,9,0,11,2,-15,-4,0,-2,-18,4
総数,4,13221,清瀬市,0,-3,8,-5,9,16,1,-16,-13,-6,-6,12,-3
総数,4,13222,東久留米市,4,16,-6,14,-7,17,-22,-17,-26,3,12,-35,-47
総数,4,13223,武蔵村山市,-30,3,-32,13,-8,8,-8,-13,-1,-9,9,-30,-98
