"年月日[西暦]","流出入先","流入人口 通勤[人]","流入人口 通学[人]","流入人口 総数[人]","流出人口 通勤[人]","流出人口 通学[人]","流出人口 総数[人]","流入超過人口（マイナスは流出超過） 通勤[人]","流入超過人口（マイナスは流出超過） 通学[人]","流入超過人口（マイナスは流出超過） 総数[人]"
"20201001","東京都","386940","15925","402865","36620","5240","41860","350320","10685","361005"
"20201001","区部","328983","14447","343430","35781","4729","40510","293202","9718","302920"
"20201001","千代田区","2271","147","2418","10176","629","10805","-7905","-482","-8387"
"20201001","中央区","9525","463","9988","5909","56","5965","3616","407","4023"
"20201001","新宿区","9617","398","10015","2847","518","3365","6770","-120","6650"
"20201001","文京区","8986","632","9618","904","457","1361","8082","175","8257"
"20201001","台東区","7368","242","7610","624","45","669","6744","197","6941"
"20201001","墨田区","10578","257","10835","352","37","389","10226","220","10446"
"20201001","江東区","19415","1023","20438","1647","125","1772","17768","898","18666"
"20201001","品川区","27093","1341","28434","3415","290","3705","23678","1051","24729"
"20201001","目黒区","14517","947","15464","882","260","1142","13635","687","14322"
"20201001","大田区","35344","1945","37289","2194","162","2356","33150","1783","34933"
"20201001","世田谷区","38061","2006","40067","749","572","1321","37312","1434","38746"
"20201001","渋谷区","10315","563","10878","3736","739","4475","6579","-176","6403"
"20201001","中野区","10521","282","10803","275","120","395","10246","162","10408"
"20201001","杉並区","19990","652","20642","226","125","351","19764","527","20291"
"20201001","豊島区","8791","341","9132","528","292","820","8263","49","8312"
"20201001","北区","11348","303","11651","210","88","298","11138","215","11353"
"20201001","荒川区","6975","254","7229","150","42","192","6825","212","7037"
"20201001","板橋区","14734","507","15241","243","65","308","14491","442","14933"
"20201001","練馬区","20096","602","20698","135","64","199","19961","538","20499"
"20201001","足立区","14589","485","15074","214","15","229","14375","470","14845"
"20201001","葛飾区","12340","356","12696","149","14","163","12191","342","12533"
"20201001","江戸川区","16509","701","17210","216","14","230","16293","687","16980"
"20201001","市町村部","57957","1478","59435","839","511","1350","57118","967","58085"
"20201001","他道府県","346221","10736","356957","4892","888","5780","341329","9848","351177"

"令和5年度港区行政資料集　 流入流出人口","Ver202010",,,,,,,,,
