地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注１）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,13988129,6863269,7124860,96.3,100,2194.05,6375,-9872,7238452
1,13100,区部,9671141,4740164,4930977,96.1,69.14,627.53,15411,-8508,5206959
1,13200,市部,4237962,2083043,2154919,96.7,30.3,783.95,5406,-1293,1996903
2,13300,郡部,54993,27372,27621,99.1,0.39,375.86,146,-17,21956
2,13350,島部,24033,12690,11343,111.9,0.17,406.71,59,-54,12634
1,13100,区部,9671141,4740164,4930977,96.1,69.14,627.53,15411,-8508,5206959
4,13101,千代田区,66687,33547,33140,101.2,0.48,11.66,5719,-99,37014
4,13102,中央区,170475,81394,89081,91.4,1.22,10.21,16697,-29,93408
4,13103,港区,257776,121781,135995,89.5,1.84,20.37,12655,-323,144786
4,13104,新宿区,346028,173147,172881,100.2,2.47,18.22,18992,-677,221299
4,13105,文京区,239624,115231,124393,92.6,1.71,11.29,21224,-126,133314
4,13106,台東区,212032,108753,103279,105.3,1.52,10.11,20973,-162,126091
4,13107,墨田区,272158,134607,137551,97.9,1.95,13.77,19765,-348,147579
4,13108,江東区,523631,257405,266226,96.7,3.74,43.01,12175,-10,265953
4,13109,品川区,418658,206545,212113,97.4,2.99,22.84,18330,-371,235452
4,13110,目黒区,284282,133780,150502,88.9,2.03,14.67,19378,-378,153640
4,13111,大田区,740312,368998,371314,99.4,5.29,61.86,11968,-1044,397840
4,13112,世田谷区,937615,442430,495185,89.3,6.7,58.05,16152,-812,489816
4,13113,渋谷区,241998,116946,125052,93.5,1.73,15.11,16016,-226,148785
4,13114,中野区,341843,170721,171122,99.8,2.44,15.59,21927,-429,206204
4,13115,杉並区,586102,281891,304211,92.7,4.19,34.06,17208,-616,333646
4,13116,豊島区,297751,149248,148503,100.5,2.13,13.01,22886,-456,181886
4,13117,北区,352925,175304,177621,98.7,2.52,20.61,17124,131,189594
4,13118,荒川区,216588,107214,109374,98,1.55,10.16,21318,-196,112208
4,13119,板橋区,580746,283885,296861,95.6,4.15,32.22,18024,-500,314860
4,13120,練馬区,750075,360106,389969,92.3,5.36,48.08,15601,-459,375834
4,13121,足立区,692322,345769,346553,99.8,4.95,53.25,13001,-426,348578
4,13122,葛飾区,450868,224327,226541,99,3.22,34.8,12956,-139,217063
4,13123,江戸川区,690645,347135,343510,101.1,4.94,49.9,13841,-813,332109
1,13200,市部,4237962,2083043,2154919,96.7,30.3,783.95,5406,-1293,1996903
4,13201,八王子市,579241,291187,288054,101.1,4.14,186.38,3108,-361,270692
4,13202,立川市,184266,91359,92907,98.3,1.32,24.36,7564,-2,91120
4,13203,武蔵野市,150497,72041,78456,91.8,1.08,10.98,13706,-92,78309
4,13204,三鷹市,195919,94648,101271,93.5,1.4,16.42,11932,-116,96782
4,13205,青梅市,132368,66077,66291,99.7,0.95,103.31,1281,-30,57046
4,13206,府中市,262719,131045,131674,99.5,1.88,29.43,8927,-117,124802
4,13207,昭島市,114189,56761,57428,98.8,0.82,17.34,6585,68,52919
4,13208,調布市,242917,117089,125828,93.1,1.74,21.58,11257,-128,121495
4,13209,町田市,432264,211005,221259,95.4,3.09,71.55,6041,-148,195264
