国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
総数,0,13000,総数,23430,26603,98722,72119,-650,58897,59547,-6330,7495,13825,3807,23026
総数,1,13100,区部,20087,21550,75571,54021,-1065,42679,43744,-3877,5443,9320,3479,19746
総数,4,13101,千代田区,129,94,617,523,-52,544,596,8,52,44,79,57
総数,4,13102,中央区,437,315,1392,1077,-76,1046,1122,64,152,88,134,364
総数,4,13103,港区,1103,808,2089,1281,-81,1556,1637,24,193,169,352,780
総数,4,13104,新宿区,321,725,3451,2726,-679,2234,2913,-163,181,344,438,560
総数,4,13105,文京区,737,676,2333,1657,42,1502,1460,-50,135,185,69,721
総数,4,13106,台東区,522,448,1660,1212,103,1275,1172,-122,110,232,93,591
総数,4,13107,墨田区,845,917,2476,1559,-58,1405,1463,-95,174,269,81,779
総数,4,13108,江東区,1879,1210,4104,2894,708,2897,2189,-174,318,492,135,1601
総数,4,13109,品川区,1089,1259,3507,2248,-164,1839,2003,-80,273,353,74,1043
総数,4,13110,目黒区,448,495,2115,1620,-28,1700,1728,-47,193,240,28,413
総数,4,13111,大田区,1967,2293,6602,4309,86,2263,2177,-353,390,743,-59,1910
総数,4,13112,世田谷区,1929,1847,6592,4745,2,3636,3634,-294,467,761,374,1846
総数,4,13113,渋谷区,262,419,1506,1087,-235,1464,1699,-31,143,174,109,250
総数,4,13114,中野区,1065,1228,3108,1880,-248,1994,2242,-81,199,280,166,1169
総数,4,13115,杉並区,1936,1958,4812,2854,22,2844,2822,-226,279,505,182,2016
総数,4,13116,豊島区,518,604,2573,1969,-141,1811,1952,-138,138,276,193,636
総数,4,13117,北区,526,661,2946,2285,132,1648,1516,-254,202,456,-13,577
総数,4,13118,荒川区,155,351,1517,1166,-136,884,1020,-159,110,269,99,183
総数,4,13119,板橋区,997,1503,4740,3237,-215,2144,2359,-342,295,637,51,1025
総数,4,13120,練馬区,814,1154,5279,4125,-46,2652,2698,-324,427,751,30,900
総数,4,13121,足立区,1193,1451,4513,3062,232,1942,1710,-528,373,901,38,1175
総数,4,13122,葛飾区,852,942,3122,2180,95,1452,1357,-259,244,503,74,795
総数,4,13123,江戸川区,363,192,4517,4325,-328,1947,2275,-253,395,648,752,355
総数,1,13200,市部,4043,5273,22957,17684,780,15869,15089,-2327,2033,4360,317,3976
総数,4,13201,八王子市,774,1041,3478,2437,148,1719,1571,-411,263,674,-4,697
総数,4,13202,立川市,406,355,1159,804,109,942,833,-109,96,205,51,336
総数,4,13203,武蔵野市,288,245,1016,771,62,852,790,-57,78,135,38,300
総数,4,13204,三鷹市,79,190,1172,982,-55,884,939,-76,93,169,20,66
総数,4,13205,青梅市,-170,6,319,313,-52,352,404,-161,57,218,37,-182
総数,4,13206,府中市,238,466,1547,1081,-111,856,967,-152,98,250,35,310
総数,4,13207,昭島市,288,173,534,361,99,506,407,-47,67,114,63,271
総数,4,13208,調布市,506,463,1529,1066,125,1122,997,-107,104,211,25,510
総数,4,13209,町田市,777,853,2700,1847,158,923,765,-252,200,452,18,664
総数,4,13210,小金井市,118,149,851,702,-41,630,671,-17,82,99,27,101
総数,4,13211,小平市,-254,-66,1055,1121,-146,833,979,-76,100,176,34,-101
総数,4,13212,日野市,43,148,934,786,-27,680,707,-91,96,187,13,37
総数,4,13213,東村山市,97,26,650,624,171,610,439,-80,85,165,-20,77
総数,4,13214,国分寺市,370,404,1016,612,73,729,656,-68,53,121,-39,381
総数,4,13215,国立市,112,117,490,373,10,442,432,-27,48,75,12,102
総数,4,13218,福生市,55,86,293,207,10,250,240,-33,25,58,-8,108
総数,4,13219,狛江市,61,146,510,364,-69,286,355,-24,45,69,8,45
総数,4,13220,東大和市,-97,-40,193,233,-10,272,282,-51,41,92,4,-111
総数,4,13221,清瀬市,-78,-31,302,333,18,223,205,-65,26,91,0,-81
総数,4,13222,東久留米市,19,19,413,394,69,421,352,-77,50,127,8,24
総数,4,13223,武蔵村山市,-28,-15,209,224,30,240,210,-37,37,74,-6,-25
総数,4,13224,多摩市,224,197,724,527,104,523,419,-77,64,141,0,202
総数,4,13225,稲城市,60,60,439,379,33,278,245,-31,45,76,-2,56
総数,4,13227,羽村市,-27,3,193,190,-10,197,207,-29,23,52,9,-34
総数,4,13228,あきる野市,-119,-40,135,175,0,278,278,-88,35,123,9,-118
総数,4,13229,西東京市,301,318,1096,778,82,821,739,-84,122,206,-15,341
総数,1,13550,町村部,-700,-220,194,414,-365,349,714,-126,19,145,11,-696
総数,2,13300,郡部,-79,-26,106,132,37,205,168,-96,13,109,6,-80
総数,4,13303,瑞穂町,-29,0,68,68,10,119,109,-43,7,50,4,-30
総数,4,13305,日の出町,-21,-14,26,40,26,61,35,-34,5,39,1,-22
総数,4,13307,檜原村,6,1,3,2,11,11,0,-7,0,7,1,4
総数,4,13308,奥多摩町,-35,-13,9,22,-10,14,24,-12,1,13,0,-32
総数,2,13350,島部,-621,-194,88,282,-402,144,546,-30,6,36,5,-616
総数,3,13360,大島支庁,-324,-100,26,126,-212,51,263,-16,4,20,4,-322
総数,4,13361,大島町,-190,-50,15,65,-126,33,159,-15,2,17,1,-187
総数,4,13362,利島村,-22,-5,2,7,-19,1,20,1,1,0,1,-22
総数,4,13363,新島村,-61,-30,3,33,-31,11,42,-2,0,2,2,-62
総数,4,13364,神津島村,-51,-15,6,21,-36,6,42,0,1,1,0,-51
総数,3,13380,三宅支庁,-88,-19,11,30,-63,11,74,-6,0,6,0,-88
総数,4,13381,三宅村,-75,-16,11,27,-55,10,65,-4,0,4,0,-75
総数,4,13382,御蔵島村,-13,-3,0,3,-8,1,9,-2,0,2,0,-13
総数,3,13400,八丈支庁,-159,-54,34,88,-98,61,159,-8,0,8,1,-158
総数,4,13401,八丈町,-141,-47,31,78,-87,47,134,-8,0,8,1,-140
総数,4,13402,青ヶ島村,-18,-7,3,10,-11,14,25,0,0,0,0,-18
総数,3,13420,小笠原支庁,-50,-21,17,38,-29,21,50,0,2,2,0,-48
総数,4,13421,小笠原村,-50,-21,17,38,-29,21,50,0,2,2,0,-48
日本人,0,13000,総数,23026,27631,93475,65844,-363,52231,52594,-6508,7203,13711,2266,
日本人,1,13100,区部,19746,22547,71301,48754,-644,37227,37871,-4012,5218,9230,1855,
日本人,4,13101,千代田区,57,87,598,511,-60,491,551,9,52,43,21,
日本人,4,13102,中央区,364,322,1333,1011,-70,946,1016,60,147,87,52,
日本人,4,13103,港区,780,777,2007,1230,-96,1395,1491,23,187,164,76,
日本人,4,13104,新宿区,560,1141,3139,1998,-461,1783,2244,-167,172,339,47,
日本人,4,13105,文京区,721,711,2219,1508,4,1272,1268,-47,135,182,53,
日本人,4,13106,台東区,591,494,1521,1027,165,1086,921,-120,108,228,52,
日本人,4,13107,墨田区,779,919,2349,1430,-72,1232,1304,-96,171,267,28,
日本人,4,13108,江東区,1601,1111,3779,2668,660,2479,1819,-190,300,490,20,
日本人,4,13109,品川区,1043,1237,3384,2147,-161,1701,1862,-85,266,351,52,
日本人,4,13110,目黒区,413,473,2043,1570,-35,1584,1619,-49,189,238,24,
日本人,4,13111,大田区,1910,2217,6329,4112,67,2083,2016,-370,367,737,-4,
日本人,4,13112,世田谷区,1846,1851,6385,4534,-24,3381,3405,-300,456,756,319,
日本人,4,13113,渋谷区,250,435,1462,1027,-179,1359,1538,-36,138,174,30,
日本人,4,13114,中野区,1169,1379,2927,1548,-200,1720,1920,-86,191,277,76,
日本人,4,13115,杉並区,2016,2030,4667,2637,82,2622,2540,-225,274,499,129,
日本人,4,13116,豊島区,636,800,2280,1480,-72,1350,1422,-148,127,275,56,
