階層コード,地域コード,地域,人口総数／令和4年7月1日,人口総数／令和3年7月1日,人口総数／令和2年7月1日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14036078,14032044,14072650,4034,0.03,-36572,-0.26
1,13100,区部,9714254,9711047,9756563,3207,0.03,-42309,-0.43
1,13200,市部,4243215,4241721,4235973,1494,0.04,7242,0.17
1,13300,郡部,54794,55102,55616,-308,-0.56,-822,-1.48
1,13350,島部,23815,24174,24498,-359,-1.49,-683,-2.79
,,,,,,,,,
東京都の人口（推計）_令和4年7月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
