階層コード,地域コード,地域,人口総数／令和４年4月１日,人口総数／令和３年4月１日,人口総数／令和２年4月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,13995469,14033664,14051889,-38195,-0.27,-56420,-0.4
1,13100,区部,9680548,9717683,9741595,-37135,-0.38,-61047,-0.63
1,13200,市部,4236727,4236932,4230391,-205,0,6336,0.15
1,13300,郡部,54837,55221,55703,-384,-0.7,-866,-1.55
1,13350,島部,23357,23828,24200,-471,-1.98,-843,-3.48
,,,,,,,,,
東京都の人口（推計）_令和４年4月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
